FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
106150808,ADVENTIST HEALTH MEDICAL CENTER TEHACHAPI VALLEY,20171,01-01-2017,03/31/2017,Open,Kern,9,623,Non Profit Corp.,Comparable,Rural,(661) 823-3000,115 WEST E STREET,TEHACHAPI,93561,DAVID EASTMAN,25,24,24,12,0,3,2,0,0,1,0,0,0,18,0,29,0,6,4,0,0,1,0,0,0,40,0,"1,389",327,917,"5,745",0,0,788,453,0,461,"10,080","2,01,685",0,"5,71,449","10,939",0,0,"1,46,302",0,0,0,"9,30,375","34,00,375","17,11,983","11,75,941","62,24,356",0,0,"4,33,087","29,82,489",0,"9,14,489","1,68,42,720","5,33,029","24,19,836","9,86,570","13,51,692","45,69,031",0,0,0,"4,74,554","14,20,651",0,"29,859",0,0,0,"3,94,346","1,21,79,568",0,0,0,0,0,"11,82,224","7,25,413","3,95,698","16,66,264",0,0,"1,04,834","15,61,838","-29,859","-12,885","55,93,527","53,169","55,89,510",0,"32,515",0,0,0,0,0,"10,99,789",0,0,0,0,0,0,0,0,0,0,0,0,0
106164029,ADVENTIST MEDICAL CENTER - HANFORD,20171,01-01-2017,03/31/2017,Open,Kings,9,615,Church,Comparable,Rural,(559) 582-9000,115 MALL DRIVE,HANFORD,93230,WAYNE FERCH,230,230,145,965,183,182,661,0,0,143,605,0,63,"2,802",0,"5,397","1,039",734,"2,951",0,0,513,"2,190",0,201,"13,025",0,"13,879","1,305","4,157","28,132",0,0,"3,330","17,498",0,"4,218","72,519","4,52,40,896","56,72,806","56,17,690","2,14,77,680",0,0,"41,79,265","1,31,09,663",0,"13,58,537","9,66,56,537","3,24,59,867","55,18,540","1,02,03,644","6,25,13,707",0,0,"1,12,84,217","4,30,45,697",0,"1,13,43,290","17,63,68,962","-30,41,070","7,39,58,797","45,50,868","53,74,752","6,18,98,270",0,0,0,"1,78,20,791","2,43,92,664",0,"20,95,318",0,0,0,"75,80,631","19,46,31,021",0,0,0,0,0,"37,41,966","66,40,478","1,04,46,582","2,20,93,117",0,0,"-23,57,309","3,17,62,696",0,"60,66,948","7,83,94,478","52,01,264","6,70,74,523",0,"39,71,657",0,0,0,0,"42,07,085","18,99,65,784",0,0,0,0,0,0,0,0,0,0,0,0,0
106100797,ADVENTIST MEDICAL CENTER - REEDLEY,20171,01-01-2017,03/31/2017,Open,Fresno,9,607,District,Comparable,Rural,(559) 582-9000,372 WEST CYPRESS AVENUE,REEDLEY,93654,WAYNE FERCH,49,49,20,63,11,91,238,0,0,1,63,0,6,473,0,244,32,304,894,0,0,11,208,0,29,"1,722",0,"8,831",454,"5,742","34,838",0,0,682,"10,294",0,"2,307","63,148","16,19,643","3,05,593","16,49,581","47,44,073",0,0,"67,528","10,69,089",0,"1,33,643","95,89,150","85,18,154","7,89,741","73,56,503","3,61,00,089",0,0,"11,38,479","80,45,812",0,"25,78,019","6,45,26,797","2,47,153","63,21,208","5,87,695","-1,45,55,840","2,14,07,831",0,0,0,"3,72,825","46,70,534",0,"36,92,405",0,0,0,"15,22,053","2,42,65,864",0,0,0,"1,10,029","1,10,029","38,16,589","5,07,639","2,35,61,924","1,94,36,331",0,0,"8,33,182","45,54,396",0,"-27,49,949","4,99,60,112","8,16,139","3,75,81,333",0,"12,00,148",0,0,0,0,"16,08,897","2,27,73,339",0,0,0,0,0,0,0,0,0,0,0,0,0
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,20171,01-01-2017,03/31/2017,Open,Orange,13,1012,Non Profit Other,Comparable,,(714) 999-5102,1111 WEST LA PALMA AVENUE,ANAHEIM,92801,RICHARD CASTRO,223,223,223,695,496,265,767,0,0,37,395,0,51,"2,706",0,"3,925","2,828","1,131","3,136",0,0,340,"1,442",0,174,"12,976",0,"2,094","1,628","1,604","4,874",0,0,439,"2,810",0,717,"14,166","6,67,58,095","5,66,38,132","1,77,39,268","5,49,30,913",0,0,"82,07,791","2,97,46,446",0,"31,95,110","23,72,15,755","2,32,05,645","2,75,87,496","75,26,690","3,29,57,803",0,0,"41,58,967","2,01,39,356",0,"27,20,865","11,82,96,822","30,38,121","7,81,91,691","7,19,58,975","2,31,65,278","7,51,99,055","-7,42,500",0,0,"1,04,57,273","3,84,85,982",0,0,0,0,0,"26,17,680","30,23,71,555",0,"14,45,156",0,0,"14,45,156","1,17,72,049","1,22,66,653","28,43,180","1,41,34,817",0,0,"19,09,484","1,13,99,820",0,"2,60,175","5,45,86,178","14,664","4,80,10,750",0,0,0,0,0,0,"4,45,972","59,95,327",0,0,0,0,0,0,0,0,0,0,0,0,0
106010735,ALAMEDA HOSPITAL,20171,01-01-2017,03/31/2017,Open,Alameda,5,417,Non Profit Corp.,Comparable,,(510) 437-4800,2070 CLINTON AVENUE,ALAMEDA,94501,DELVECCHIO FINLEY,251,247,247,328,38,71,110,0,7,7,62,0,6,629,0,"4,552",513,"11,803",628,0,31,34,774,0,322,"18,657",0,"1,983",240,286,"1,969",0,81,321,"1,370",1,"1,348","7,599","3,26,93,040","35,70,114","1,80,95,987","78,44,977",0,"3,34,740","5,64,632","42,89,230",0,"3,99,214","6,77,91,934","1,14,38,235","14,72,162","13,40,275","1,00,23,005",0,"12,57,875","9,43,820","51,92,143","3,127","11,36,880","3,28,07,522","11,52,839","3,65,42,499","40,07,243","1,67,54,271","1,39,33,983","-22,13,019",0,"15,92,615","12,62,034","66,95,444",0,"3,09,578",0,0,0,0,"8,00,37,487",0,0,"8,94,860",0,"8,94,860","75,88,776","10,35,033","48,95,010","39,33,999",0,"8,94,860","2,46,418","27,85,929",0,"76,804","2,14,56,829","-1,10,117","2,58,36,579",0,"14,11,391",0,0,0,0,"2,32,504","62,59,370",0,0,0,0,0,0,0,0,0,0,0,0,0
106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,20171,01-01-2017,03/31/2017,Open,Los Angeles,11,913,Investor - Ptnr.,Comparable,,(626) 570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,IRIS LAI,144,144,144,501,295,58,430,0,0,7,116,0,7,"1,414",3,"3,240","1,149",789,"3,267",0,0,24,354,0,41,"8,864","2,333",951,637,509,"2,403",0,0,27,736,0,"1,541","6,804","4,33,70,147","1,81,27,918","74,78,031","3,17,65,096",0,0,"4,38,740","58,51,027",0,"5,59,590","10,75,90,549","64,04,107","40,75,157","19,96,923","98,55,732",0,0,"1,70,324","46,59,970",0,"24,54,405","2,96,16,618","8,80,067","4,00,77,153","2,10,52,162","94,42,613","3,80,05,618",0,0,0,"5,51,013","75,35,379",0,0,0,0,0,"16,73,792","11,92,17,797","2,02,67,562","31,95,606",0,0,"2,34,63,168","96,97,101","2,14,18,474","32,341","68,10,816",0,0,"58,051","29,75,618",0,"4,60,137","4,14,52,538","2,37,550","4,02,55,507",0,"39,675",0,0,0,0,"2,45,999","72,55,537",0,0,0,0,0,0,0,0,0,0,0,0,0
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,20171,01-01-2017,03/31/2017,Open,Alameda,5,415,Non Profit Corp.,Comparable,,(510) 204-4444,2450 ASHBY AVENUE,BERKELEY,94705,CHARLES PROSPER,402,402,251,906,233,610,918,0,0,153,"1,425",11,16,"4,272",0,"4,345","1,310","2,371","3,066",0,0,"1,938","5,834",35,47,"18,946",0,"16,901","4,053","2,093","8,680",14,0,"1,186","23,209",969,0,"57,105","6,72,07,550","1,89,38,975","3,18,18,689","5,04,18,762",0,0,"2,47,86,939","7,68,64,968","6,48,330","8,83,197","27,15,67,410","5,93,71,935","1,33,25,985","59,15,699","3,37,70,352","80,443",0,"32,42,463","7,30,25,631","21,91,584",0,"19,09,24,092","11,48,602","9,97,32,557","2,53,82,223","3,34,13,891","6,77,62,579",0,0,0,"2,32,57,727","7,05,55,381",0,"28,39,914",0,0,0,"5,49,206","32,46,42,080","6,09,856",0,0,"47,22,806","53,32,662","2,68,46,928","74,92,593","43,20,497","1,64,26,535","80,443",0,"47,71,675","8,32,43,413",0,0,"14,31,82,084","17,27,267","15,94,39,861",0,"-4,300",0,0,0,0,"8,47,560","8,79,53,558",0,0,0,0,0,0,0,0,0,0,0,0,0
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,20171,01-01-2017,03/31/2017,Open,Alameda,5,417,Non Profit Corp.,Comparable,,(510) 655-4000,350 HAWTHORNE AVENUE,OAKLAND,94609,CHARLES PROSPER,354,354,251,"1,587",314,252,655,0,0,64,548,11,10,"3,441",0,"8,964","1,772","1,790","3,619",0,0,297,"2,857",38,31,"19,368",0,"9,924","1,707","1,284","8,578",2,0,461,"9,563",829,542,"32,890","13,94,31,768","2,84,85,530","2,59,54,774","5,55,09,186",0,0,"64,66,088","5,01,81,527","8,01,887","6,33,405","30,74,64,165","4,34,02,684","86,94,655","66,72,468","3,21,85,035","2,912",0,"1,00,48,657","3,37,77,257","20,60,125","13,89,787","13,82,33,580","11,50,284","14,78,24,342","2,95,39,239","2,72,73,828","7,04,34,461",0,"2,912",0,"97,26,469","3,95,53,019",0,"28,62,012",0,0,0,"6,12,288","32,89,78,854",0,0,0,0,0,"3,50,10,110","76,40,946","53,53,414","1,72,59,760",0,0,"67,88,276","4,44,05,765",0,"2,60,620","11,67,18,891","5,23,01,879","15,52,30,577",0,"40,63,564",0,0,0,0,"44,30,690","50,27,59,859",0,0,0,0,0,0,0,0,0,0,0,0,0
106370652,ALVARADO HOSPITAL,20171,01-01-2017,03/31/2017,Open,San Diego,14,1418,Investor - Corp.,Comparable,,(619) 287-3270,6655 ALVARADO ROAD,SAN DIEGO,92120,ROBIN GOMEZ,306,306,306,485,179,102,305,10,0,96,225,0,14,"1,416",0,"2,236",835,534,"1,573",22,0,739,936,0,32,"6,907",0,"1,693",569,541,"2,722",47,0,703,"3,081",1,737,"10,094","3,79,09,357","1,53,66,853","55,04,457","1,85,50,618","8,90,627",0,"30,52,947","2,29,97,263",0,"17,04,188","10,59,76,310","89,46,450","40,17,020","18,92,580","98,91,942","63,675",0,"21,19,697","1,09,22,977","11,820","15,88,744","3,94,54,905","18,67,724","3,72,50,952","1,51,16,404","33,05,773","2,42,11,114",0,"7,76,478",0,"45,06,342","2,38,83,090",0,"11,821",0,0,0,"12,98,581","11,22,28,279",0,0,0,0,0,"96,04,855","42,67,469","40,91,264","42,31,446","1,77,824",0,"6,66,302","1,00,37,150",0,"1,26,626","3,32,02,936","9,68,578","3,36,03,041","3,96,363",0,0,0,0,0,"21,33,601","6,40,98,579",0,0,0,0,0,0,0,0,0,0,0,0,0
106370749,ALVARADO PARKWAY INSTITUTE BHS,20171,01-01-2017,03/31/2017,Open,San Diego,14,1422,Investor - Corp.,Comparable,,(619) 465-4411,7050 PARKWAY DRIVE,LA MESA,91942,PATRICK ZIEMER,66,66,66,240,37,53,0,0,0,0,186,0,3,519,0,"2,934",476,860,0,0,0,0,"1,238",0,12,"5,520",0,"29,975","1,222",0,0,0,0,0,"1,794",0,207,"33,198","73,35,000","12,37,956","22,61,844",0,0,0,0,"31,05,000",0,"23,889","1,39,63,689","66,54,458","2,55,610",0,0,0,0,0,"6,36,628",0,"24,161","75,70,857","3,58,500","86,64,012",0,"17,14,822",0,0,0,0,0,"37,44,427",0,0,0,0,0,0,"1,44,81,761",0,0,0,0,0,"49,66,947","14,93,566","5,47,022",0,0,0,0,"-2,799",0,"48,049","70,52,785",0,"61,34,841",0,0,0,0,0,0,"1,41,519","16,93,650",0,0,0,0,0,0,0,0,0,0,0,0,0
